source,source_detail,subtech,component,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
Keith-2018,Table 3,HT-DAC,#,2018,CAPEX,Output Capacity|Captured CO2,1126.8,,MUSD_2016,0.98,Mt/a,Early plant. Value reported for a capacity of 0.98 Mt-CO2/year. Corresponding to the Carbon Engineering pilot plant.
Keith-2018,Table 3,HT-DAC,#,2018,CAPEX,Output Capacity|Captured CO2,779.5,,MUSD_2016,0.98,Mt/a,Nth plant. Value reported for a capacity of 0.98 Mt-CO2/year.
Keith-2018,Table 2,HT-DAC,#,2018,OPEX Variable,Output|Captured CO2,26,,USD_2016,1,t,Corresponding to the Carbon Engineering pilot plant (scenario C).
Keith-2018,Table 2,HT-DAC,#,2018,Input|Electricity,Output|Captured CO2,366.0,,kWh,1.0,t,Corresponding to the Carbon Engineering pilot plant (scenario C).
Keith-2018,Table 2,HT-DAC,#,2018,OCF,,90,,percent,,,Corresponding to the Carbon Engineering pilot plant (scenario C).
Keith-2018,Table 2,HT-DAC,#,2018,Input|Heat,Output|Captured CO2,5.25,,GJ,1.0,t,"Is assumed to be NG consumption in the paper, as high temperatures are needed (900 °C). Corresponding to the Carbon Engineering pilot plant (scenario C)."
Fasihi-2019,Table 4,HT-DAC,#,2020,CAPEX,Output Capacity|Captured CO2,815.0,,EUR_2020,1.0,t/a,"No explicit cost basis given, assumed to be EUR2020 as this is the time of cost. Author's own assumption."
Fasihi-2019,Table 4,LT-DAC,#,2020,CAPEX,Output Capacity|Captured CO2,730.0,,EUR_2020,1.0,t/a,"No explicit cost basis given, assumed to be EUR2020 as this is the time of cost. Author's own assumption."
Fasihi-2019,Table 4,HT-DAC,#,2020,OPEX Fixed Relative,,3.7,,percent,,,Author's own assumption.
Fasihi-2019,Table 4,LT-DAC,#,2020,OPEX Fixed Relative,,4.0,,percent,,,Author's own assumption.
Fasihi-2019,Table 4,HT-DAC,#,2020,Input|Electricity,Output|Captured CO2,1535.0,,kWh,1.0,t,Author's own assumption.
Fasihi-2019,Table 4,HT-DAC,#,2020,Input|Heat,Output|Captured CO2,0.0,,kWh,1.0,t,Author's own assumption.
Fasihi-2019,Table 4,LT-DAC,#,2020,Input|Electricity,Output|Captured CO2,250.0,,kWh,1.0,t,Author's own assumption.
Fasihi-2019,Table 4,LT-DAC,#,2020,Input|Heat,Output|Captured CO2,1750.0,,kWh,1.0,t,Assuming low temperature (80–100 °C). Author's own assumption.
Fasihi-2019,Table 4,HT-DAC,#,2020,Lifetime,,25.0,,year,,,
Fasihi-2019,Table 4,LT-DAC,#,2020,Lifetime,,20.0,,year,,,
Madhu-2021,Table 1 and 2,*,CO2 injection,2021,Input|Electricity,Output|Captured CO2,7.0,,kWh,1.0,t,
Madhu-2021,Table 1 and 2,*,CO2 compression,2021,Input|Electricity,Output|Captured CO2,111.0,,kWh,1.0,t,
Madhu-2021,Table 1,HT-DAC,CO2 capture,2021,Input|Electricity,Output|Captured CO2,345.0,,kWh,1.0,t,Reference case
Madhu-2021,Table 1,HT-DAC,CO2 capture,2021,Input|Electricity,Output|Captured CO2,337.0,,kWh,1.0,t,Best case
Madhu-2021,Table 1,HT-DAC,CO2 capture,2021,Input|Electricity,Output|Captured CO2,449.0,,kWh,1.0,t,Worst case
Madhu-2021,Table 1,HT-DAC,#,2021,Input|Heat,Output|Captured CO2,4.47,,GJ,1.0,t,Reference case. Assuming high temperature (850–900 °C).
Madhu-2021,Table 1,HT-DAC,#,2021,Input|Heat,Output|Captured CO2,4.05,,GJ,1.0,t,Best case. Assuming high temperature (850–900 °C).
Madhu-2021,Table 1,HT-DAC,#,2021,Input|Heat,Output|Captured CO2,4.47,,GJ,1.0,t,Worst case. Assuming high temperature (850–900 °C).
Madhu-2021,Table 2,LT-DAC,CO2 capture,2021,Input|Electricity,Output|Captured CO2,180.0,,kWh,1.0,t,Reference case.
Madhu-2021,Table 2,LT-DAC,CO2 capture,2021,Input|Electricity,Output|Captured CO2,130.0,,kWh,1.0,t,Best case.
Madhu-2021,Table 2,LT-DAC,CO2 capture,2021,Input|Electricity,Output|Captured CO2,350.0,,kWh,1.0,t,Worst case.
Madhu-2021,Table 2,LT-DAC,#,2021,Input|Heat,Output|Captured CO2,2.6,,GJ,1.0,t,Reference case. Assuming low temperature (80–120 °C).
Madhu-2021,Table 2,LT-DAC,#,2021,Input|Heat,Output|Captured CO2,2.3,,GJ,1.0,t,Best case. Assuming low temperature (80–120 °C).
Madhu-2021,Table 2,LT-DAC,#,2021,Input|Heat,Output|Captured CO2,6.2,,GJ,1.0,t,Worst case. Assuming low temperature (80–120 °C).
IEA-DAC-2022,Interactive chart,*,CO2 compression,2022,Input|Electricity,Output|Captured CO2,0.5,,GJ,1.0,t,
IEA-DAC-2022,Interactive chart,HT-DAC,Non-compression,2022,Input|Electricity,Output|Captured CO2,0.8,,GJ,1.0,t,
IEA-DAC-2022,Interactive chart,HT-DAC,#,2022,Input|Heat,Output|Captured CO2,5.3,,GJ,1.0,t,Assuming a series of units operating at high temperature (between 300°C and 900°C).
IEA-DAC-2022,Interactive chart,LT-DAC,Non-compression,2022,Input|Electricity,Output|Captured CO2,1.8,,GJ,1.0,t,
IEA-DAC-2022,Interactive chart,LT-DAC,#,2022,Input|Heat,Output|Captured CO2,7.2,,GJ,1.0,t,Assuming medium temperature (80-120°C).
Okzan-2022,"Page 11, section Capital costs",HT-DAC,#,2022,CAPEX,Output Capacity|Captured CO2,80.0,,USD_2022,1.0,t/a,"Literature review, no cost basis given. Optimistic assumption"
Okzan-2022,"Page 11, section Capital costs",HT-DAC,#,2022,CAPEX,Output Capacity|Captured CO2,150.0,,USD_2022,1.0,t/a,"Literature review, no cost basis given. Conservative assumption"
Okzan-2022,"Page 11, section Capital costs",LT-DAC,#,2022,CAPEX,Output Capacity|Captured CO2,200.0,,USD_2022,1.0,t/a,"Literature review, no cost basis given. Optimistic assumption"
Okzan-2022,"Page 11, section Capital costs",LT-DAC,#,2022,CAPEX,Output Capacity|Captured CO2,1000.0,,USD_2022,1.0,t/a,"Literature review, no cost basis given. Conservative assumption"
Okzan-2022,"Page 12, section Operating and maintenance cost",HT-DAC,O&M,2022,OPEX Variable,Output|Captured CO2,40.0,,USD_2022,1.0,t,"Literature review, no cost basis given. Optimistic assumption"
Okzan-2022,"Page 12, section Operating and maintenance cost",HT-DAC,O&M,2022,OPEX Variable,Output|Captured CO2,80.0,,USD_2022,1.0,t,"Literature review, no cost basis given. Conservative assumption"
Okzan-2022,"Page 12, section Operating and maintenance cost",LT-DAC,O&M,2022,OPEX Variable,Output|Captured CO2,5.0,,USD_2022,1.0,t,"Literature review, no cost basis given. Optimistic assumption"
Okzan-2022,"Page 12, section Operating and maintenance cost",LT-DAC,O&M,2022,OPEX Variable,Output|Captured CO2,50.0,,USD_2022,1.0,t,"Literature review, no cost basis given. Conservative assumption"
Lux-2023,"Table 2, Page 6",LT-DAC,#,2020,CAPEX,Output Capacity|Captured CO2,5840000.0,,EUR_2022,8000.0,t/a,
Lux-2023,"Table 2, Page 6",LT-DAC,#,2050,CAPEX,Output Capacity|Captured CO2,1132000.0,460000.0,EUR_2022,8000.0,t/a,combination of base and conservative assumptions
Lux-2023,"Table 2, Page 6",LT-DAC,#,2020,OPEX Fixed Relative,,4.0,,percent,,,
Lux-2023,"Table 2, Page 6",LT-DAC,#,2050,Lifetime,,30.0,,year,,,
